hist_type,plane,plane_label,tpc,tpc_label,xsec,xlow,xhigh,hist_name,global_median_original,global_median_dentforce,global_median_ratio,median_bin_ratio,mean_bin_ratio,rms_bin_ratio,min_bin_ratio,max_bin_ratio,n_bins_used,n_original_nonzero,n_dentforce_nonzero,n_common,n_original_only,fraction_retained,fraction_removed,frac_outside_5pct,frac_outside_10pct
zy,0,U,0,East,0,-200,-180,zy_0_0_xsec0,1136,1145,1.00792,1,1.01029,0.111025,0.198287,2.60396,4577,7181,4577,4577,2604,0.637376,0.362624,0.258029,0.119292
zy,0,U,0,East,1,-180,-160,zy_0_0_xsec1,1142,1142,1,1,1,0,1,1,5697,7497,5697,5697,1800,0.759904,0.240096,0,0
zy,0,U,0,East,2,-160,-140,zy_0_0_xsec2,1142,1142,1,1,1,0,1,1,5820,7709,5820,5820,1889,0.754962,0.245038,0,0
zy,0,U,0,East,3,-140,-120,zy_0_0_xsec3,1146.5,1146.5,1,1,1,0,1,1,5921,7871,5921,5921,1950,0.752255,0.247745,0,0
zy,0,U,0,East,4,-120,-100,zy_0_0_xsec4,1149.5,1149.5,1,1,1,0,1,1,5959,7953,5959,5959,1994,0.749277,0.250723,0,0
zy,0,U,0,East,5,-100,-80,zy_0_0_xsec5,1152.5,1152.5,1,1,1,0,1,1,5964,7981,5964,5964,2017,0.747275,0.252725,0,0
zy,0,U,0,East,6,-80,-60,zy_0_0_xsec6,1154,1154,1,1,1,0,1,1,5968,7992,5968,5968,2024,0.746747,0.253253,0,0
zy,0,U,0,East,7,-60,-40,zy_0_0_xsec7,1158.5,1158.5,1,1,1,0,1,1,5968,7987,5968,5968,2019,0.747214,0.252786,0,0
zy,0,U,0,East,8,-40,-20,zy_0_0_xsec8,1158.5,1158.5,1,1,1,0,1,1,5968,7990,5968,5968,2022,0.746934,0.253066,0,0
zy,0,U,0,East,9,-20,0,zy_0_0_xsec9,1152.5,1157.75,1.00456,1.00316,1.0046,0.0142097,0.877664,1.26507,5968,7993,5968,5968,2025,0.746653,0.253347,0.00821046,0.00117292
zy,0,U,1,West,10,0,20,zy_0_1_xsec10,1169,1176.5,1.00642,1.00433,1.00666,0.0161546,0.907942,1.2788,6687,7995,6687,6687,1308,0.836398,0.163602,0.0183939,0.00179453
zy,0,U,1,West,11,20,40,zy_0_1_xsec11,1177.06,1177.06,1,1,1,0,1,1,6685,7991,6685,6685,1306,0.836566,0.163434,0,0
zy,0,U,1,West,12,40,60,zy_0_1_xsec12,1176.5,1176.5,1,1,1,0,1,1,6688,7993,6688,6688,1305,0.836732,0.163268,0,0
zy,0,U,1,West,13,60,80,zy_0_1_xsec13,1175.38,1175.38,1,1,1,0,1,1,6688,7998,6688,6688,1310,0.836209,0.163791,0,0
zy,0,U,1,West,14,80,100,zy_0_1_xsec14,1172,1172,1,1,1,0,1,1,6687,7997,6687,6687,1310,0.836189,0.163811,0,0
zy,0,U,1,West,15,100,120,zy_0_1_xsec15,1170.88,1170.88,1,1,1,0,1,1,6681,7984,6681,6681,1303,0.836799,0.163201,0,0
zy,0,U,1,West,16,120,140,zy_0_1_xsec16,1167.5,1167.5,1,1,1,0,1,1,6661,7959,6661,6661,1298,0.836914,0.163086,0,0
zy,0,U,1,West,17,140,160,zy_0_1_xsec17,1165.25,1165.25,1,1,1,0,1,1,6582,7859,6582,6582,1277,0.837511,0.162489,0,0
zy,0,U,1,West,18,160,180,zy_0_1_xsec18,1164.12,1164.12,1,1,1,0,1,1,6411,7629,6411,6411,1218,0.840346,0.159654,0,0
zy,0,U,1,West,19,180,200,zy_0_1_xsec19,1158.5,1167.5,1.00777,1,1.01383,0.130441,0.201365,3.46749,5245,7360,5245,5245,2115,0.712636,0.287364,0.277407,0.138418
zy,1,V,0,East,0,-200,-180,zy_1_0_xsec0,1145,1154,1.00786,1,1.00729,0.133902,0.224068,3.67791,4418,7047,4418,4418,2629,0.626933,0.373067,0.287234,0.147804
zy,1,V,0,East,1,-180,-160,zy_1_0_xsec1,1154,1154,1,1,1,0,1,1,5572,7384,5572,5572,1812,0.754605,0.245395,0,0
zy,1,V,0,East,2,-160,-140,zy_1_0_xsec2,1156.25,1156.25,1,1,1,0,1,1,5729,7617,5729,5729,1888,0.752133,0.247867,0,0
zy,1,V,0,East,3,-140,-120,zy_1_0_xsec3,1158.5,1158.5,1,1,1,0,1,1,5820,7763,5820,5820,1943,0.74971,0.25029,0,0
zy,1,V,0,East,4,-120,-100,zy_1_0_xsec4,1160,1160,1,1,1,0,1,1,5873,7859,5873,5873,1986,0.747296,0.252704,0,0
zy,1,V,0,East,5,-100,-80,zy_1_0_xsec5,1163,1163,1,1,1,0,1,1,5879,7891,5879,5879,2012,0.745026,0.254974,0,0
zy,1,V,0,East,6,-80,-60,zy_1_0_xsec6,1167.5,1167.5,1,1,1,0,1,1,5901,7915,5901,5901,2014,0.745546,0.254454,0,0
zy,1,V,0,East,7,-60,-40,zy_1_0_xsec7,1167.5,1167.5,1,1,1,0,1,1,5901,7911,5901,5901,2010,0.745923,0.254077,0,0
zy,1,V,0,East,8,-40,-20,zy_1_0_xsec8,1167.5,1167.5,1,1,1,0,1,1,5906,7914,5906,5906,2008,0.746272,0.253728,0,0
zy,1,V,0,East,9,-20,0,zy_1_0_xsec9,1161.5,1164.5,1.00258,1.00229,1.0036,0.0161828,0.804618,1.32022,5907,7922,5907,5907,2015,0.745645,0.254355,0.0118503,0.00152362
zy,1,V,1,West,10,0,20,zy_1_1_xsec10,1157.67,1164.5,1.0059,1.00384,1.00605,0.0176902,0.807731,1.24479,6688,7996,6688,6688,1308,0.836418,0.163582,0.0200359,0.003439
zy,1,V,1,West,11,20,40,zy_1_1_xsec11,1167.5,1167.5,1,1,1,0,1,1,6684,7991,6684,6684,1307,0.836441,0.163559,0,0
zy,1,V,1,West,12,40,60,zy_1_1_xsec12,1167.5,1167.5,1,1,1,0,1,1,6686,7992,6686,6686,1306,0.836587,0.163413,0,0
zy,1,V,1,West,13,60,80,zy_1_1_xsec13,1165.25,1165.25,1,1,1,0,1,1,6688,8000,6688,6688,1312,0.836,0.164,0,0
zy,1,V,1,West,14,80,100,zy_1_1_xsec14,1165.25,1165.25,1,1,1,0,1,1,6687,7999,6687,6687,1312,0.835979,0.164021,0,0
zy,1,V,1,West,15,100,120,zy_1_1_xsec15,1160.75,1160.75,1,1,1,0,1,1,6681,7984,6681,6681,1303,0.836799,0.163201,0,0
zy,1,V,1,West,16,120,140,zy_1_1_xsec16,1159.4,1159.4,1,1,1,0,1,1,6651,7951,6651,6651,1300,0.836499,0.163501,0,0
zy,1,V,1,West,17,140,160,zy_1_1_xsec17,1158.5,1158.5,1,1,1,0,1,1,6578,7846,6578,6578,1268,0.838389,0.161611,0,0
zy,1,V,1,West,18,160,180,zy_1_1_xsec18,1158.5,1158.5,1,1,1,0,1,1,6422,7619,6422,6422,1197,0.842893,0.157107,0,0
zy,1,V,1,West,19,180,200,zy_1_1_xsec19,1153.55,1163,1.00819,1,1.00837,0.119663,0.198319,2.65424,5238,7383,5238,5238,2145,0.709468,0.290532,0.29706,0.155976
zy,2,Collection,0,East,0,-200,-180,zy_2_0_xsec0,1113.5,1113.5,1,1,1.00856,0.0744257,0.43831,1.88623,4603,7231,4603,4603,2628,0.636565,0.363435,0.183141,0.0693026
zy,2,Collection,0,East,1,-180,-160,zy_2_0_xsec1,1113.5,1113.5,1,1,1,0,1,1,5605,7455,5605,5605,1850,0.751844,0.248156,0,0
zy,2,Collection,0,East,2,-160,-140,zy_2_0_xsec2,1115.3,1115.3,1,1,1,0,1,1,5699,7625,5699,5699,1926,0.74741,0.25259,0,0
zy,2,Collection,0,East,3,-140,-120,zy_2_0_xsec3,1118,1118,1,1,1,0,1,1,5771,7739,5771,5771,1968,0.745704,0.254296,0,0
zy,2,Collection,0,East,4,-120,-100,zy_2_0_xsec4,1118,1118,1,1,1,0,1,1,5805,7809,5805,5805,2004,0.743373,0.256627,0,0
zy,2,Collection,0,East,5,-100,-80,zy_2_0_xsec5,1119.5,1119.5,1,1,1,0,1,1,5811,7827,5811,5811,2016,0.74243,0.25757,0,0
zy,2,Collection,0,East,6,-80,-60,zy_2_0_xsec6,1119.5,1119.5,1,1,1,0,1,1,5816,7835,5816,5816,2019,0.74231,0.25769,0,0
zy,2,Collection,0,East,7,-60,-40,zy_2_0_xsec7,1119.8,1119.8,1,1,1,0,1,1,5816,7829,5816,5816,2013,0.742879,0.257121,0,0
zy,2,Collection,0,East,8,-40,-20,zy_2_0_xsec8,1120.25,1120.25,1,1,1,0,1,1,5816,7826,5816,5816,2010,0.743164,0.256836,0,0
zy,2,Collection,0,East,9,-20,0,zy_2_0_xsec9,1118,1118.5,1.00045,1.00082,1.00156,0.0145275,0.905462,1.67285,5817,7841,5817,5817,2024,0.74187,0.25813,0.00361011,0.00034382
zy,2,Collection,1,West,10,0,20,zy_2_1_xsec10,1113.5,1116.5,1.00269,1.00207,1.0034,0.0138943,0.858778,1.39756,6688,7996,6688,6688,1308,0.836418,0.163582,0.00807416,0.00104665
zy,2,Collection,1,West,11,20,40,zy_2_1_xsec11,1118.9,1118.9,1,1,1,0,1,1,6684,7992,6684,6684,1308,0.836336,0.163664,0,0
zy,2,Collection,1,West,12,40,60,zy_2_1_xsec12,1118.9,1118.9,1,1,1,0,1,1,6688,7994,6688,6688,1306,0.836627,0.163373,0,0
zy,2,Collection,1,West,13,60,80,zy_2_1_xsec13,1119.12,1119.12,1,1,1,0,1,1,6688,7998,6688,6688,1310,0.836209,0.163791,0,0
zy,2,Collection,1,West,14,80,100,zy_2_1_xsec14,1118,1118,1,1,1,0,1,1,6687,7998,6687,6687,1311,0.836084,0.163916,0,0
zy,2,Collection,1,West,15,100,120,zy_2_1_xsec15,1118,1118,1,1,1,0,1,1,6684,7992,6684,6684,1308,0.836336,0.163664,0,0
zy,2,Collection,1,West,16,120,140,zy_2_1_xsec16,1118,1118,1,1,1,0,1,1,6662,7967,6662,6662,1305,0.836199,0.163801,0,0
zy,2,Collection,1,West,17,140,160,zy_2_1_xsec17,1115.75,1115.75,1,1,1,0,1,1,6603,7890,6603,6603,1287,0.836882,0.163118,0,0
zy,2,Collection,1,West,18,160,180,zy_2_1_xsec18,1113.5,1113.5,1,1,1,0,1,1,6472,7707,6472,6472,1235,0.839756,0.160244,0,0
zy,2,Collection,1,West,19,180,200,zy_2_1_xsec19,1118,1118,1,1,1.00955,0.0752744,0.405161,1.76622,5396,7508,5396,5396,2112,0.7187,0.2813,0.191809,0.0774648
